post_id,Y,intensity,radiation,Mapping_Confidence,lay_synonym,alt_ids,loc_Unknown,loc_anatomical line between pupils,loc_digestive system,loc_pelvis,loc_uterus,mod_Unknown,mod_abnormal,mod_bleeding,mod_painful,group_Abdominal pain,group_Abnormal conjugate eye movement,group_Back pain,group_Constipation,group_Functional abnormality of the bladder,temp_Chronic,temp_Cyclical,embed_0,embed_1,embed_2,embed_3,embed_4,embed_5,embed_6,embed_7,embed_8,embed_9,embed_10,embed_11,embed_12,embed_13,embed_14,embed_15,embed_16,embed_17,embed_18,embed_19,embed_20,embed_21,embed_22,embed_23,embed_24,embed_25,embed_26,embed_27,embed_28,embed_29,embed_30,embed_31,subclass_hpo_id,sub_embed_0,sub_embed_1,sub_embed_2,sub_embed_3,sub_embed_4,sub_embed_5,sub_embed_6,sub_embed_7,sub_embed_8,sub_embed_9,sub_embed_10,sub_embed_11,sub_embed_12,sub_embed_13,sub_embed_14,sub_embed_15,sub_embed_16,sub_embed_17,sub_embed_18,sub_embed_19,sub_embed_20,sub_embed_21,sub_embed_22,sub_embed_23,sub_embed_24,sub_embed_25,sub_embed_26,sub_embed_27,sub_embed_28,sub_embed_29,sub_embed_30,sub_embed_31
2,1,2,0,71,1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,3.6491518,-1.5866513,-5.053573,-1.6019027,0.5069333,-2.433882,0.492856,3.4470024,0.91117465,-1.2802771,-0.8532926,0.7143804,1.7999535,-0.0821748,-0.33056262,0.6779873,-1.0603125,-0.42169887,-1.4933193,1.8131616,-1.1323599,-0.7515006,-0.40481347,-0.67330974,0.2858595,-0.9041435,-0.24287921,2.3752687,0.7613974,-2.5752604,2.554114,-2.1485693,HP:0034267,-2.2803442,-3.0730596,5.354733,3.8314965,-1.9554574,2.378782,0.5858509,0.66802686,0.8316407,-0.037930273,-0.2853792,-2.3866704,-1.4895902,-0.5323791,0.66818297,-2.1518822,0.5709405,-0.3077038,-0.3924149,2.340578,-0.5092637,-2.531405,3.5729733,-0.09628635,2.5269084,1.3650292,-0.12190192,-0.93521696,0.5121811,0.34012437,0.02499566,-9.0809897e-07
2,1,2,0,71,1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,3.6491518,-1.5866513,-5.053573,-1.6019027,0.5069333,-2.433882,0.492856,3.4470024,0.91117465,-1.2802771,-0.8532926,0.7143804,1.7999535,-0.0821748,-0.33056262,0.6779873,-1.0603125,-0.42169887,-1.4933193,1.8131616,-1.1323599,-0.7515006,-0.40481347,-0.67330974,0.2858595,-0.9041435,-0.24287921,2.3752687,0.7613974,-2.5752604,2.554114,-2.1485693,HP:0034267,-2.2803442,-3.0730596,5.354733,3.8314965,-1.9554574,2.378782,0.5858509,0.66802686,0.8316407,-0.037930273,-0.2853792,-2.3866704,-1.4895902,-0.5323791,0.66818297,-2.1518822,0.5709405,-0.3077038,-0.3924149,2.340578,-0.5092637,-2.531405,3.5729733,-0.09628635,2.5269084,1.3650292,-0.12190192,-0.93521696,0.5121811,0.34012437,0.02499566,-9.0809897e-07
2,1,2,0,71,1,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,3.6491518,-1.5866513,-5.053573,-1.6019027,0.5069333,-2.433882,0.492856,3.4470024,0.91117465,-1.2802771,-0.8532926,0.7143804,1.7999535,-0.0821748,-0.33056262,0.6779873,-1.0603125,-0.42169887,-1.4933193,1.8131616,-1.1323599,-0.7515006,-0.40481347,-0.67330974,0.2858595,-0.9041435,-0.24287921,2.3752687,0.7613974,-2.5752604,2.554114,-2.1485693,HP:0034267,-2.2803442,-3.0730596,5.354733,3.8314965,-1.9554574,2.378782,0.5858509,0.66802686,0.8316407,-0.037930273,-0.2853792,-2.3866704,-1.4895902,-0.5323791,0.66818297,-2.1518822,0.5709405,-0.3077038,-0.3924149,2.340578,-0.5092637,-2.531405,3.5729733,-0.09628635,2.5269084,1.3650292,-0.12190192,-0.93521696,0.5121811,0.34012437,0.02499566,-9.0809897e-07
2,1,3,0,100,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.51820916,3.5590608,-2.7665794,-1.6792458,2.3624923,3.1018677,3.5608764,-3.73516,-0.68806493,-2.1154776,-0.6962715,-0.24817485,-1.3915324,-4.1791816,0.85963607,4.085134,-1.0399711,2.8394394,0.66196334,-0.40635994,-1.4643201,-0.60703397,-0.25258255,0.145371,-2.7679899,-0.22896937,1.7087367,-1.2417182,-0.8767816,0.36884925,1.1660944,-0.6346752,HP:0002077,-5.3723044,2.0653136,-2.3431966,1.642484,6.8068933,2.333407,-2.9988313,-0.1790079,-1.8561354,1.3547256,1.3242716,-1.6692561,2.1640878,2.3222594,1.6351651,0.24139316,-0.45786124,-0.9976209,0.60960495,-0.21128175,0.4146756,-0.52409273,0.3476753,-0.56124896,-0.5140973,0.6269388,-0.7433052,-0.4895044,-1.8423533,0.8109466,-2.3698814,-9.080982e-07
3,1,3,0,83,1,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.18482356,3.718,-4.296879,4.046718,2.8955345,-2.2584472,-1.6490581,-0.37008414,0.13461244,-1.7034006,0.5900736,-0.88375765,-0.6288634,1.1992224,-0.55038166,0.44639695,-1.6003616,-1.1700784,-1.5662032,0.3876383,-0.45067844,0.572254,0.86081463,1.7060376,1.4060061,-0.23824774,-2.2377324,-1.6767111,0.65961057,0.23428057,-0.088566735,-0.4138556,HP:0100607,-3.907543,5.1141114,4.7476053,1.3198075,0.24497719,0.5385641,1.4717959,1.9272795,0.40722212,-1.9207705,0.4505181,-0.32507318,-1.7742679,1.8478774,-0.7351724,-0.35417435,-0.60070485,2.914909,0.3742489,-0.33483583,-0.043585017,0.45678785,1.912539,1.9285882,-0.86033934,-3.345729,1.6576457,1.2645102,-0.88355124,-0.27490857,-0.3606311,-9.0809914e-07
3,1,3,0,85,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,0.5995948,2.977548,2.5857997,-1.8655556,1.4886216,-0.31811532,3.7588336,0.34907216,2.0187504,0.21351908,-0.9239462,0.8409425,2.7322624,-1.7265713,-1.9273771,2.7258837,-0.092653364,0.5547579,-1.223134,-0.57491535,1.6690704,0.10201525,-0.2672074,0.5264888,1.7719786,-0.37186405,-2.9320233,0.9440409,-0.3169413,0.56158525,-0.29297698,-1.0623181,HP:0002013,0.8204711,-0.60695666,-2.832869,2.223255,4.9835796,-1.6315655,3.4531808,1.5991881,0.10768864,4.912873,-1.1649867,2.1085188,-0.102981865,-2.9946625,-0.26803663,-2.2713103,1.4448173,-0.66310734,-1.2932644,1.1696143,1.3208935,1.8019209,-0.81789935,-0.36850923,2.8271933,-1.518996,0.8249235,0.31169188,-0.85539645,-0.11354227,-0.046658352,-9.080985e-07
3,1,3,0,81,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,-3.1421165,0.05828216,2.0361226,-0.4129978,-0.1344524,3.155163,5.3632407,2.0610461,1.7058586,-0.736052,0.14136349,-0.43462148,0.57651997,-0.79004896,-1.4289387,2.946049,-1.4382721,1.1004643,0.99242604,-0.60345364,-0.31781095,-2.498273,0.053818952,-2.4365325,2.8152485,-2.7391913,-0.9007508,-0.011299134,0.09020588,-0.730766,0.14412956,-2.1817195,HP:0002013,0.8204711,-0.60695666,-2.832869,2.223255,4.9835796,-1.6315655,3.4531808,1.5991881,0.10768864,4.912873,-1.1649867,2.1085188,-0.102981865,-2.9946625,-0.26803663,-2.2713103,1.4448173,-0.66310734,-1.2932644,1.1696143,1.3208935,1.8019209,-0.81789935,-0.36850923,2.8271933,-1.518996,0.8249235,0.31169188,-0.85539645,-0.11354227,-0.046658352,-9.080985e-07
3,1,3,0,100,1,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,-0.8517835,-1.8561872,5.9488325,3.4616537,-0.34808922,1.8112876,3.6252286,2.867825,0.6714967,0.6071754,-0.04704697,-3.3239334,0.7915825,2.9820304,0.1698632,1.7344396,0.7671164,-0.5260986,4.0810184,-0.5919335,-0.5217065,0.6526061,-1.355226,0.9781367,-1.1433322,-0.3014842,-1.765599,0.4447377,-0.9721373,0.69735354,0.33731517,-0.9322357,HP:0001538,-1.7655854,-7.4350204,1.5126376,-4.6496825,1.3443557,-1.9183638,2.6005294,-0.8020973,-2.4178598,-1.6446353,1.1630732,1.0397084,-0.96303296,-0.45369977,0.83535033,-3.3916686,1.4022638,-1.6172224,2.337238,1.9718013,0.2595646,1.3117753,0.28031245,1.1170692,-2.2938523,1.6750118,0.6917547,1.4633167,-0.40382984,0.66727513,0.13055785,-9.0809823e-07
3,1,3,0,61,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2.1558263,2.8810043,-1.0636443,-1.0579137,-2.1230464,0.42873958,1.9912405,-0.34809276,-2.0858014,0.07135095,-1.1996528,-1.5014389,0.5391592,-0.7664634,-2.802793,-3.8302987,0.3825189,0.6988781,2.1333637,2.5043628,-3.107767,-0.5800761,0.35942006,2.6039996,1.5516522,0.06874711,1.1984819,0.52685434,-1.0886467,-0.79238343,-1.0244379,1.9635136,HP:0002028,3.5048087,2.9505877,2.531269,-2.6498435,-1.3813186,-6.390075,-3.9932158,1.8152713,1.433174,3.1729093,1.4506584,-3.439183,-0.2705467,-0.98189,-0.68690014,-1.0763426,0.6947771,-0.34479377,0.4698088,0.7689034,0.05173256,-0.7851044,-0.50600266,-1.3266313,-1.5332927,0.3070727,2.2693272,-1.1664338,0.35361657,-1.4760628,-0.86361223,-9.0809823e-07
3,1,3,0,61,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,2.1558263,2.8810043,-1.0636443,-1.0579137,-2.1230464,0.42873958,1.9912405,-0.34809276,-2.0858014,0.07135095,-1.1996528,-1.5014389,0.5391592,-0.7664634,-2.802793,-3.8302987,0.3825189,0.6988781,2.1333637,2.5043628,-3.107767,-0.5800761,0.35942006,2.6039996,1.5516522,0.06874711,1.1984819,0.52685434,-1.0886467,-0.79238343,-1.0244379,1.9635136,HP:0002028,3.5048087,2.9505877,2.531269,-2.6498435,-1.3813186,-6.390075,-3.9932158,1.8152713,1.433174,3.1729093,1.4506584,-3.439183,-0.2705467,-0.98189,-0.68690014,-1.0763426,0.6947771,-0.34479377,0.4698088,0.7689034,0.05173256,-0.7851044,-0.50600266,-1.3266313,-1.5332927,0.3070727,2.2693272,-1.1664338,0.35361657,-1.4760628,-0.86361223,-9.0809823e-07
