id,class_label,definition,synonyms,parent_classes,object_properties,object_properties_readable,object_properties_simplified
HP_0005208,Secretory diarrhea,Watery voluminous diarrhea resulting from an imbalance between ion and water secretion and absorption.,Secretory diarrhoea,Diarrhea (HP_0002014),[],,
HP_0008222,Female infertility,,Female infertility,Infertility (HP_0000789) | Decreased fertility in females (HP_0000868),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""female sterile AND (characteristic of SOME multicellular organism) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME female sterile AND (characteristic of SOME multicellular organism) AND (has modifier SOME abnormal,female sterile and ( multicellular organism) and ( abnormal
HP_0009020,Exercise-induced muscle fatigue,An abnormally increased tendency towards muscle fatigue induced by physical exercise.,,Increased muscle fatiguability (HP_0003750),[],,
HP_0011037,Decreased urine output,A decreased rate of urine production.,,Abnormal urine output (HP_0012590),"[{""property_type"": ""SOME"", ""property_label"": ""has part"", ""target_class_label"": ""decreased rate AND (characteristic of SOME micturition) AND (has modifier SOME abnormal"", ""target_class_id"": ""Complex_Expression"", ""cardinality"": null}]",has part SOME decreased rate AND (characteristic of SOME micturition) AND (has modifier SOME abnormal,decreased rate and ( micturition) and ( abnormal
HP_0011134,Low-grade fever,Mild fever that does not exceed 38.5 degrees centigrade.,Low-grade fever | Mild fever,Fever (HP_0001945),[],,
HP_0011171,Simple febrile seizure,"A short generalized seizure, of a duration of <15 min, not recurring within 24 h, occurring during a febrile episode not caused by an acute disease of the nervous system intracranial infection or severe metabolic disturbance.",Simple febrile convulsion | Simple febrile seizures | Simple fever fit,Febrile seizure (within the age range of 3 months to 6 years) (HP_0002373),[],,
HP_0011172,Complex febrile seizure,"A febrile seizure that has any of the following features: focal semiology (or associated with post-ictal neurologic abnormalities beyond drowsiness, such as a Todd's paresis), prolonged seizure beyond 15 minutes, or recurring (occurring more than once) in a 24 hour period.",Complex febrile convulsion | Complex febrile seizures | Complex fever fit,Febrile seizure (within the age range of 3 months to 6 years) (HP_0002373),[],,
HP_0011483,Anterior synechiae of the anterior chamber,Adhesions between the iris and the cornea.,Anterior synechiae | Cornea-iris adhesion | Iridocorneal adhesions | Iridocorneal synechia,Anterior chamber synechiae (HP_0007833),[],,
HP_0011484,Posterior synechiae of the anterior chamber,Adhesions between the iris and the lens.,Iridolenticular adhesions | Posterior synechiae,Anterior chamber synechiae (HP_0007833),[],,
HP_0012378,Fatigue,A subjective feeling of tiredness characterized by a lack of energy and motivation.,Fatigue | Tired | Tiredness,Constitutional symptom (HP_0025142),[],,
